--------------------------------------------------
dataset: ZINC
device: 0
downsample: False
handtune: 
model:
  embs: (0, 1, 2)
  embs_combine_mode: concat
  gnn_type: GCNConv
  hidden_size: 128
  hops_dim: 16
  mini_layers: 1
  mlp_layers: 1
  num_layers: 6
  pool: add
  residual: True
  use_normal_gnn: False
  virtual_node: False
num_workers: 8
sampling:
  batch_factor: 1
  mode: None
  random_rate: 0.5
  redundancy: 0
  stride: 2
seed: None
subgraph:
  hops: 5
  online: True
  walk_length: 0
  walk_p: 1.0
  walk_q: 1.0
  walk_repeat: 5
task: -1
train:
  batch_size: 128
  dropout: 0.0
  epochs: 100
  lr: 0.001
  lr_decay: 0.5
  lr_patience: 50
  runs: 1
  wd: 0.0
version: final
--------------------------------------------------
Time: 2023/01/08 - 03:14
T[-1] GNN[GCNConv] L[6] Mini[1] Emb[(0, 1, 2)-concat-1] H[128] HopsEmb[16] Pool[add] VN[False] WithOri[False] Hops[5] WalkL[0] p[1.0] q[1.0] Smp[None] MR[0] Reg[0.0-0.0] Seed[None] GPU[0]
Epoch: 001, Train Loss: 0.6631, Val: -0.6505, Test: -0.6820, Seconds: 10.3824, Memory Peak: 1776 MB allocated, 2272 MB reserved.
Epoch: 002, Train Loss: 0.5387, Val: -0.5527, Test: -0.5792, Seconds: 10.2915, Memory Peak: 1786 MB allocated, 2274 MB reserved.
Epoch: 003, Train Loss: 0.4711, Val: -0.4332, Test: -0.4366, Seconds: 10.2089, Memory Peak: 1786 MB allocated, 2274 MB reserved.
Epoch: 004, Train Loss: 0.3837, Val: -0.6732, Test: -0.4366, Seconds: 9.2992, Memory Peak: 1786 MB allocated, 2274 MB reserved.
Epoch: 005, Train Loss: 0.3701, Val: -0.4153, Test: -0.3907, Seconds: 10.2240, Memory Peak: 1791 MB allocated, 2594 MB reserved.
Epoch: 006, Train Loss: 0.3508, Val: -0.7077, Test: -0.3907, Seconds: 9.4210, Memory Peak: 1791 MB allocated, 2594 MB reserved.
Epoch: 007, Train Loss: 0.3431, Val: -0.6968, Test: -0.3907, Seconds: 9.2827, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 008, Train Loss: 0.3200, Val: -0.3026, Test: -0.2485, Seconds: 10.3346, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 009, Train Loss: 0.3181, Val: -0.3491, Test: -0.2485, Seconds: 9.3581, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 010, Train Loss: 0.3138, Val: -0.3966, Test: -0.2485, Seconds: 9.4058, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 011, Train Loss: 0.3083, Val: -0.3146, Test: -0.2485, Seconds: 9.4383, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 012, Train Loss: 0.2850, Val: -0.3613, Test: -0.2485, Seconds: 9.2855, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 013, Train Loss: 0.2947, Val: -0.4264, Test: -0.2485, Seconds: 9.2559, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 014, Train Loss: 0.2963, Val: -0.3372, Test: -0.2485, Seconds: 9.3645, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 015, Train Loss: 0.2702, Val: -0.3968, Test: -0.2485, Seconds: 9.4392, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 016, Train Loss: 0.2820, Val: -0.4195, Test: -0.2485, Seconds: 9.2635, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 017, Train Loss: 0.2619, Val: -0.3295, Test: -0.2485, Seconds: 9.3991, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 018, Train Loss: 0.2528, Val: -0.3713, Test: -0.2485, Seconds: 9.3372, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 019, Train Loss: 0.2691, Val: -0.2782, Test: -0.2496, Seconds: 10.3193, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 020, Train Loss: 0.2663, Val: -0.3922, Test: -0.2496, Seconds: 9.4095, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 021, Train Loss: 0.2601, Val: -0.2991, Test: -0.2496, Seconds: 9.3248, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 022, Train Loss: 0.2528, Val: -0.3452, Test: -0.2496, Seconds: 9.2800, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 023, Train Loss: 0.2492, Val: -0.3045, Test: -0.2496, Seconds: 9.3089, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 024, Train Loss: 0.2421, Val: -0.3885, Test: -0.2496, Seconds: 9.2775, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 025, Train Loss: 0.2334, Val: -0.2860, Test: -0.2496, Seconds: 9.2242, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 026, Train Loss: 0.2483, Val: -0.2631, Test: -0.2386, Seconds: 10.2181, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 027, Train Loss: 0.2532, Val: -0.3687, Test: -0.2386, Seconds: 9.4467, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 028, Train Loss: 0.2456, Val: -0.4419, Test: -0.2386, Seconds: 9.2819, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 029, Train Loss: 0.2356, Val: -0.5123, Test: -0.2386, Seconds: 9.3490, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 030, Train Loss: 0.2478, Val: -0.3148, Test: -0.2386, Seconds: 9.4486, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 031, Train Loss: 0.2267, Val: -0.3702, Test: -0.2386, Seconds: 9.3040, Memory Peak: 1807 MB allocated, 2594 MB reserved.
Epoch: 032, Train Loss: 0.2216, Val: -0.2695, Test: -0.2386, Seconds: 9.4446, Memory Peak: 1812 MB allocated, 2594 MB reserved.
Epoch: 033, Train Loss: 0.2271, Val: -0.2611, Test: -0.2315, Seconds: 10.3256, Memory Peak: 1812 MB allocated, 2594 MB reserved.
Epoch: 034, Train Loss: 0.2218, Val: -0.3108, Test: -0.2315, Seconds: 9.4287, Memory Peak: 1813 MB allocated, 2594 MB reserved.
Epoch: 035, Train Loss: 0.2290, Val: -0.3028, Test: -0.2315, Seconds: 9.3540, Memory Peak: 1813 MB allocated, 2594 MB reserved.
