--------------------------------------------------
dataset: ZINC
device: 0
downsample: False
handtune: 
model:
  embs: (0, 1, 2)
  embs_combine_mode: concat
  gnn_type: GCNConv
  hidden_size: 128
  hops_dim: 16
  mini_layers: 1
  mlp_layers: 1
  num_layers: 6
  pool: add
  residual: True
  use_normal_gnn: False
  virtual_node: False
num_workers: 8
sampling:
  batch_factor: 1
  mode: None
  random_rate: 0.5
  redundancy: 0
  stride: 2
seed: None
subgraph:
  hops: 2
  online: True
  walk_length: 0
  walk_p: 1.0
  walk_q: 1.0
  walk_repeat: 5
task: -1
train:
  batch_size: 128
  dropout: 0.0
  epochs: 100
  lr: 0.001
  lr_decay: 0.5
  lr_patience: 50
  runs: 1
  wd: 0.0
version: final
--------------------------------------------------
Time: 2023/01/08 - 02:25
T[-1] GNN[GCNConv] L[6] Mini[1] Emb[(0, 1, 2)-concat-1] H[128] HopsEmb[16] Pool[add] VN[False] WithOri[False] Hops[2] WalkL[0] p[1.0] q[1.0] Smp[None] MR[0] Reg[0.0-0.0] Seed[None] GPU[0]
Epoch: 001, Train Loss: 0.6076, Val: -0.5999, Test: -0.6255, Seconds: 8.3587, Memory Peak: 818 MB allocated, 926 MB reserved.
Epoch: 002, Train Loss: 0.4922, Val: -0.6332, Test: -0.6255, Seconds: 7.3913, Memory Peak: 821 MB allocated, 936 MB reserved.
Epoch: 003, Train Loss: 0.4613, Val: -0.5875, Test: -0.6144, Seconds: 8.1741, Memory Peak: 826 MB allocated, 982 MB reserved.
Epoch: 004, Train Loss: 0.4515, Val: -0.4876, Test: -0.5074, Seconds: 8.0829, Memory Peak: 826 MB allocated, 982 MB reserved.
Epoch: 005, Train Loss: 0.4452, Val: -0.5959, Test: -0.5074, Seconds: 7.4699, Memory Peak: 826 MB allocated, 982 MB reserved.
Epoch: 006, Train Loss: 0.4239, Val: -0.4420, Test: -0.4590, Seconds: 8.5052, Memory Peak: 826 MB allocated, 982 MB reserved.
Epoch: 007, Train Loss: 0.4206, Val: -0.4276, Test: -0.4209, Seconds: 8.1435, Memory Peak: 826 MB allocated, 982 MB reserved.
Epoch: 008, Train Loss: 0.4116, Val: -0.4924, Test: -0.4209, Seconds: 7.5103, Memory Peak: 826 MB allocated, 982 MB reserved.
Epoch: 009, Train Loss: 0.3974, Val: -0.3892, Test: -0.3943, Seconds: 8.0502, Memory Peak: 826 MB allocated, 982 MB reserved.
Epoch: 010, Train Loss: 0.4067, Val: -0.5908, Test: -0.3943, Seconds: 7.4613, Memory Peak: 826 MB allocated, 982 MB reserved.
Epoch: 011, Train Loss: 0.4041, Val: -0.4734, Test: -0.3943, Seconds: 7.8901, Memory Peak: 826 MB allocated, 982 MB reserved.
Epoch: 012, Train Loss: 0.3939, Val: -0.7915, Test: -0.3943, Seconds: 7.7415, Memory Peak: 827 MB allocated, 1038 MB reserved.
Epoch: 013, Train Loss: 0.3919, Val: -0.4168, Test: -0.3943, Seconds: 7.5146, Memory Peak: 827 MB allocated, 1038 MB reserved.
Epoch: 014, Train Loss: 0.3785, Val: -0.5051, Test: -0.3943, Seconds: 7.4553, Memory Peak: 829 MB allocated, 1038 MB reserved.
Epoch: 015, Train Loss: 0.3757, Val: -0.3765, Test: -0.3836, Seconds: 8.2235, Memory Peak: 829 MB allocated, 1038 MB reserved.
