--------------------------------------------------
dataset: ZINC
device: 0
downsample: False
handtune: 
model:
  embs: (0, 1, 2)
  embs_combine_mode: concat
  gnn_type: GCNConv
  hidden_size: 128
  hops_dim: 16
  mini_layers: 3
  mlp_layers: 1
  num_layers: 6
  pool: add
  residual: True
  use_normal_gnn: False
  virtual_node: False
num_workers: 8
sampling:
  batch_factor: 1
  mode: None
  random_rate: 0.5
  redundancy: 0
  stride: 2
seed: None
subgraph:
  hops: 3
  online: True
  walk_length: 0
  walk_p: 1.0
  walk_q: 1.0
  walk_repeat: 5
task: -1
train:
  batch_size: 128
  dropout: 0.0
  epochs: 100
  lr: 0.001
  lr_decay: 0.5
  lr_patience: 50
  runs: 1
  wd: 0.0
version: final
--------------------------------------------------
Time: 2022/12/05 - 02:04
T[-1] GNN[GCNConv] L[6] Mini[3] Emb[(0, 1, 2)-concat-1] H[128] HopsEmb[16] Pool[add] VN[False] WithOri[False] Hops[3] WalkL[0] p[1.0] q[1.0] Smp[None] MR[0] Reg[0.0-0.0] Seed[None] GPU[0]
Epoch: 001, Train Loss: 0.6675, Val: -0.5501, Test: -0.5978, Seconds: 12.3928, Memory Peak: 1773 MB allocated, 2030 MB reserved.
Epoch: 002, Train Loss: 0.5095, Val: -0.5463, Test: -0.5414, Seconds: 12.2007, Memory Peak: 1773 MB allocated, 2030 MB reserved.
Epoch: 003, Train Loss: 0.4364, Val: -0.5347, Test: -0.5495, Seconds: 12.2882, Memory Peak: 1773 MB allocated, 2030 MB reserved.
Epoch: 004, Train Loss: 0.3837, Val: -1.1857, Test: -0.5495, Seconds: 11.2734, Memory Peak: 1773 MB allocated, 2030 MB reserved.
Epoch: 005, Train Loss: 0.3662, Val: -0.4478, Test: -0.4474, Seconds: 12.4088, Memory Peak: 1773 MB allocated, 2030 MB reserved.
Epoch: 006, Train Loss: 0.3219, Val: -0.3562, Test: -0.3270, Seconds: 12.5933, Memory Peak: 1773 MB allocated, 2030 MB reserved.
Epoch: 007, Train Loss: 0.3214, Val: -0.3912, Test: -0.3270, Seconds: 11.2770, Memory Peak: 1773 MB allocated, 2030 MB reserved.
Epoch: 008, Train Loss: 0.3057, Val: -0.3562, Test: -0.3270, Seconds: 11.2762, Memory Peak: 1773 MB allocated, 2030 MB reserved.
Epoch: 009, Train Loss: 0.3041, Val: -0.6409, Test: -0.3270, Seconds: 11.1419, Memory Peak: 1776 MB allocated, 2030 MB reserved.
Epoch: 010, Train Loss: 0.3016, Val: -0.3299, Test: -0.2936, Seconds: 12.2626, Memory Peak: 1779 MB allocated, 2030 MB reserved.
Epoch: 011, Train Loss: 0.2891, Val: -0.3029, Test: -0.2685, Seconds: 12.2985, Memory Peak: 1779 MB allocated, 2030 MB reserved.
