--------------------------------------------------
dataset: ZINC
device: 0
downsample: False
handtune: 
model:
  embs: (0, 1, 2)
  embs_combine_mode: concat
  gnn_type: GCNConv
  hidden_size: 128
  hops_dim: 16
  mini_layers: 2
  mlp_layers: 1
  num_layers: 6
  pool: add
  residual: True
  use_normal_gnn: False
  virtual_node: False
num_workers: 8
sampling:
  batch_factor: 1
  mode: None
  random_rate: 0.5
  redundancy: 0
  stride: 2
seed: None
subgraph:
  hops: 3
  online: True
  walk_length: 0
  walk_p: 1.0
  walk_q: 1.0
  walk_repeat: 5
task: -1
train:
  batch_size: 128
  dropout: 0.0
  epochs: 100
  lr: 0.001
  lr_decay: 0.5
  lr_patience: 50
  runs: 1
  wd: 0.0
version: final
--------------------------------------------------
Time: 2022/12/04 - 16:21
T[-1] GNN[GCNConv] L[6] Mini[2] Emb[(0, 1, 2)-concat-1] H[128] HopsEmb[16] Pool[add] VN[False] WithOri[False] Hops[3] WalkL[0] p[1.0] q[1.0] Smp[None] MR[0] Reg[0.0-0.0] Seed[None] GPU[0]
Epoch: 001, Train Loss: 0.6247, Val: -0.7989, Test: -0.8467, Seconds: 11.0530, Memory Peak: 1471 MB allocated, 1718 MB reserved.
Epoch: 002, Train Loss: 0.4794, Val: -0.5024, Test: -0.4886, Seconds: 10.4125, Memory Peak: 1476 MB allocated, 1718 MB reserved.
Epoch: 003, Train Loss: 0.4090, Val: -0.5562, Test: -0.4886, Seconds: 9.5969, Memory Peak: 1476 MB allocated, 1718 MB reserved.
Epoch: 004, Train Loss: 0.3740, Val: -0.4246, Test: -0.3985, Seconds: 10.5301, Memory Peak: 1476 MB allocated, 1718 MB reserved.
Epoch: 005, Train Loss: 0.3505, Val: -0.4421, Test: -0.3985, Seconds: 9.6907, Memory Peak: 1478 MB allocated, 1750 MB reserved.
Epoch: 006, Train Loss: 0.3463, Val: -0.4456, Test: -0.3985, Seconds: 9.6257, Memory Peak: 1478 MB allocated, 1750 MB reserved.
Epoch: 007, Train Loss: 0.3408, Val: -0.4052, Test: -0.3804, Seconds: 10.7234, Memory Peak: 1478 MB allocated, 1750 MB reserved.
Epoch: 008, Train Loss: 0.3169, Val: -0.5696, Test: -0.3804, Seconds: 9.7703, Memory Peak: 1478 MB allocated, 1750 MB reserved.
Epoch: 009, Train Loss: 0.3201, Val: -0.3197, Test: -0.2868, Seconds: 10.4655, Memory Peak: 1478 MB allocated, 1750 MB reserved.
Epoch: 010, Train Loss: 0.3019, Val: -0.9240, Test: -0.2868, Seconds: 9.5144, Memory Peak: 1478 MB allocated, 1750 MB reserved.
Epoch: 011, Train Loss: 0.2981, Val: -0.3496, Test: -0.2868, Seconds: 9.5330, Memory Peak: 1478 MB allocated, 1750 MB reserved.
Epoch: 012, Train Loss: 0.2861, Val: -0.3952, Test: -0.2868, Seconds: 9.6272, Memory Peak: 1478 MB allocated, 1750 MB reserved.
Epoch: 013, Train Loss: 0.2943, Val: -0.4326, Test: -0.2868, Seconds: 9.5289, Memory Peak: 1478 MB allocated, 1750 MB reserved.
Epoch: 014, Train Loss: 0.2793, Val: -0.3967, Test: -0.2868, Seconds: 9.8221, Memory Peak: 1478 MB allocated, 1750 MB reserved.
Epoch: 015, Train Loss: 0.2787, Val: -0.3988, Test: -0.2868, Seconds: 9.4972, Memory Peak: 1478 MB allocated, 1750 MB reserved.
Epoch: 016, Train Loss: 0.2791, Val: -0.2881, Test: -0.2584, Seconds: 10.4966, Memory Peak: 1478 MB allocated, 1750 MB reserved.
